"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
11.73	0.06787	0.12	0.01359	167980	168060	168020	11.711	11.74	11.725	0.084	0.01	NA	NA	NA	NA	NA	0.811	0.2
11.75	0.0943	0.12	0.01888	168060	168150	168105	11.74	11.768	11.754	0.079	0.01	NA	NA	NA	NA	NA	1.195	0.2
11.78	0.08514	0.12	0.01705	168150	168233	168192	11.768	11.797	11.783	0.076	0.01	NA	NA	NA	NA	NA	1.117	0.2
11.81	0.09299	0.121	0.01862	168233	168320	168277	11.797	11.826	11.812	0.075	0.01	NA	NA	NA	NA	NA	1.241	0.2
11.84	0.074	0.121	0.01482	168320	168410	168365	11.826	11.855	11.84	0.074	0.01	NA	NA	NA	NA	NA	0.996	0.2
11.87	0.07397	0.121	0.01481	168410	168501	168456	11.855	11.884	11.869	0.074	0.01	NA	NA	NA	NA	NA	1.005	0.2
11.9	0.06728	0.122	0.01347	168501	168580	168541	11.884	11.912	11.898	0.073	0.01	NA	NA	NA	NA	NA	0.923	0.2
11.93	0.07339	0.121	0.0147	168580	168660	168620	11.912	11.941	11.927	0.072	0.01	NA	NA	NA	NA	NA	1.017	0.2
11.96	0.07148	0.122	0.01432	168660	168740	168700	11.941	11.97	11.956	0.072	0.01	NA	NA	NA	NA	NA	1	0.2
11.98	0.06308	0.123	0.01263	168740	168820	168780	11.97	11.999	11.984	0.071	0.01	NA	NA	NA	NA	NA	0.888	0.2
